# target_rel_x_m target_rel_y_m obstacle_rel_x_m obstacle_rel_y_m
# targets are 1.0 m in front of each obstacle from the centre reference
1.004 0.451 1.917 0.861
-1.338 1.621 -1.975 2.392
-1.984 -1.014 -2.875 -1.469
-0.022 2.344 -0.031 3.344
2.574 -1.527 3.434 -2.037
1.059 -2.981 1.394 -3.923
-2.072 2.650 -2.688 3.438
0.618 -6.099 0.719 -7.094
2.749 -6.035 3.164 -6.945
